epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,90.2073,0.79552,0.46843,0.79424,0.98796,0.97996,0.98495,0.8462,0.63254,0.37916,0.79652,0.000821206,0.000821206,0.000821206
43,92.2825,0.80996,0.46803,0.79374,0.99785,0.96933,0.98321,0.8407,0.67857,0.36973,0.80033,0.000800577,0.000800577,0.000800577
44,94.286,0.75052,0.44764,0.78925,0.96562,0.96864,0.98272,0.8468,0.63111,0.3932,0.80101,0.000779948,0.000779948,0.000779948
45,96.2554,0.75378,0.44472,0.78438,0.95591,0.96358,0.98181,0.85069,0.58608,0.38177,0.80131,0.000759318,0.000759318,0.000759318
46,98.2375,0.74025,0.44571,0.7792,0.99007,0.975,0.98293,0.86319,0.58507,0.36059,0.79773,0.000738689,0.000738689,0.000738689
47,100.332,0.70764,0.42481,0.7826,0.99769,0.9738,0.98346,0.86397,0.5474,0.32744,0.79885,0.00071806,0.00071806,0.00071806
48,102.368,0.70264,0.42038,0.78241,0.9989,0.96933,0.98497,0.86005,0.57448,0.36182,0.79849,0.000697431,0.000697431,0.000697431
49,104.44,0.74199,0.44824,0.78065,0.9843,0.97931,0.98269,0.86642,0.55355,0.34381,0.79839,0.000676802,0.000676802,0.000676802
50,106.479,0.75612,0.4616,0.79274,0.9929,0.98028,0.98439,0.85696,0.59367,0.34819,0.79992,0.000656173,0.000656173,0.000656173
51,108.529,0.74764,0.44116,0.77603,0.99915,0.97719,0.98515,0.86535,0.56466,0.33904,0.79717,0.000635544,0.000635544,0.000635544
52,110.496,0.69725,0.40448,0.78674,0.98878,0.98125,0.98435,0.84455,0.59457,0.34123,0.79785,0.000614915,0.000614915,0.000614915
53,112.515,0.74229,0.44294,0.79081,0.98669,0.98078,0.98345,0.86053,0.55471,0.34483,0.79813,0.000594286,0.000594286,0.000594286
54,114.569,0.7353,0.43669,0.78721,0.99047,0.98125,0.98313,0.85813,0.57271,0.34079,0.80101,0.000573656,0.000573656,0.000573656
55,116.663,0.69936,0.41736,0.78707,0.9924,0.98125,0.98342,0.86881,0.56144,0.32802,0.7992,0.000553027,0.000553027,0.000553027
56,118.768,0.68075,0.41066,0.78707,0.99599,0.98018,0.98364,0.84499,0.62634,0.33148,0.80025,0.000532398,0.000532398,0.000532398
57,120.807,0.67563,0.40375,0.78284,0.99696,0.97882,0.98329,0.87235,0.54659,0.31257,0.79803,0.000511769,0.000511769,0.000511769
58,122.752,0.68835,0.40584,0.79223,0.99752,0.97639,0.98406,0.86324,0.55059,0.33996,0.79679,0.00049114,0.00049114,0.00049114
59,124.678,0.67609,0.42016,0.77861,0.98786,0.9751,0.98348,0.86853,0.55817,0.35416,0.79707,0.000470511,0.000470511,0.000470511
60,126.696,0.68418,0.39063,0.78382,0.99594,0.97532,0.9834,0.86137,0.56533,0.31823,0.79847,0.000449882,0.000449882,0.000449882
61,128.683,0.66736,0.38763,0.78224,0.99734,0.97552,0.98348,0.88194,0.51442,0.31635,0.79654,0.000429253,0.000429253,0.000429253
62,130.715,0.65567,0.38381,0.78213,0.9884,0.98005,0.98467,0.87079,0.53468,0.3099,0.79906,0.000408623,0.000408623,0.000408623
63,132.699,0.65008,0.38153,0.78771,0.99047,0.98055,0.98431,0.87355,0.52168,0.30565,0.7965,0.000387994,0.000387994,0.000387994
64,134.656,0.65188,0.38302,0.78528,0.99183,0.9761,0.98481,0.85053,0.56641,0.33518,0.79923,0.000367365,0.000367365,0.000367365
65,136.583,0.68933,0.39442,0.77678,0.99752,0.97874,0.98376,0.86609,0.54567,0.29933,0.79829,0.000346736,0.000346736,0.000346736
66,138.571,0.66593,0.38726,0.78253,0.99852,0.98093,0.98482,0.88397,0.50561,0.29944,0.79679,0.000326107,0.000326107,0.000326107
67,140.66,0.65448,0.37712,0.77838,0.99379,0.98063,0.98514,0.86492,0.54158,0.30976,0.79771,0.000305478,0.000305478,0.000305478
68,142.675,0.6344,0.37383,0.78194,0.99396,0.98062,0.98431,0.87713,0.51722,0.30299,0.79574,0.000284849,0.000284849,0.000284849
69,144.69,0.63854,0.3598,0.78295,0.99336,0.98084,0.98285,0.87584,0.50047,0.29149,0.797,0.00026422,0.00026422,0.00026422
70,146.769,0.61373,0.36674,0.78855,0.9929,0.9812,0.98313,0.8778,0.53502,0.31073,0.79689,0.00024359,0.00024359,0.00024359
